Var1,Var2
train_00000.jpg,28.10557
train_00001.jpg,28.10557
train_00002.jpg,28.10653
train_00003.jpg,28.1304
train_00004.jpg,28.10924
train_00005.jpg,28.08857
train_00006.jpg,28.03421
train_00007.jpg,28.01849
train_00008.jpg,27.98662
train_00009.jpg,28.01635
train_00010.jpg,27.98199
train_00011.jpg,27.97862
train_00012.jpg,28.03233
train_00013.jpg,27.96022
train_00014.jpg,27.93718
train_00015.jpg,27.9406
train_00016.jpg,27.90858
train_00017.jpg,27.89861
train_00018.jpg,27.85598
train_00019.jpg,27.79558
train_00020.jpg,27.85063
train_00021.jpg,27.83935
train_00022.jpg,27.82435
train_00023.jpg,27.75961
train_00024.jpg,27.83006
train_00025.jpg,27.76189
train_00026.jpg,27.69476
train_00027.jpg,27.7612
train_00028.jpg,27.69193
train_00029.jpg,27.66609
train_00030.jpg,27.72391
train_00031.jpg,27.63947
train_00032.jpg,27.61287
train_00033.jpg,27.63853
train_00034.jpg,27.6061
train_00035.jpg,27.59321
train_00036.jpg,27.57393
train_00037.jpg,27.56115
train_00038.jpg,27.55923
train_00039.jpg,27.52807
train_00040.jpg,27.52254
train_00041.jpg,27.53106
train_00042.jpg,27.49302
train_00043.jpg,27.48771
train_00044.jpg,27.44094
train_00045.jpg,27.43965
train_00046.jpg,27.41291
train_00047.jpg,27.40174
train_00048.jpg,27.39601
train_00049.jpg,27.35751
train_00050.jpg,27.36565
train_00051.jpg,27.34764
train_00052.jpg,27.30213
train_00053.jpg,27.30984
train_00054.jpg,27.26628
train_00055.jpg,27.26607
train_00056.jpg,27.2381
train_00057.jpg,27.23903
train_00058.jpg,27.22744
train_00059.jpg,27.20984
train_00060.jpg,27.22482
train_00061.jpg,27.18167
train_00062.jpg,27.1701
train_00063.jpg,27.15459
train_00064.jpg,27.10411
train_00065.jpg,27.08136
train_00066.jpg,27.07187
train_00067.jpg,27.07327
train_00068.jpg,27.03934
train_00069.jpg,27.04149
train_00070.jpg,27.01814
train_00071.jpg,27.00955
train_00072.jpg,26.99625
train_00073.jpg,26.95484
train_00074.jpg,26.96858
train_00075.jpg,26.91307
train_00076.jpg,26.90347
train_00077.jpg,26.90883
train_00078.jpg,26.86031
train_00079.jpg,26.86931
train_00080.jpg,26.87027
train_00081.jpg,26.8362
train_00082.jpg,26.83641
train_00083.jpg,26.84383
train_00084.jpg,26.77554
train_00085.jpg,26.73243
train_00086.jpg,26.73009
train_00087.jpg,26.73078
train_00088.jpg,26.70897
train_00089.jpg,26.69234
train_00090.jpg,26.6907
train_00091.jpg,26.64607
train_00092.jpg,26.6441
train_00093.jpg,26.62715
train_00094.jpg,26.56978
train_00095.jpg,26.56453
train_00096.jpg,26.57736
train_00097.jpg,26.5352
train_00098.jpg,26.54165
train_00099.jpg,26.52951
train_00100.jpg,26.50194
train_00101.jpg,26.50846
train_00102.jpg,26.45637
train_00103.jpg,26.4609
train_00104.jpg,26.44711
train_00105.jpg,26.44468
train_00106.jpg,26.43217
train_00107.jpg,26.34898
train_00108.jpg,26.36843
train_00109.jpg,26.3287
train_00110.jpg,26.28724
train_00111.jpg,26.28667
train_00112.jpg,26.27313
train_00113.jpg,26.25878
train_00114.jpg,26.26402
train_00115.jpg,26.21648
train_00116.jpg,26.2291
train_00117.jpg,26.20543
train_00118.jpg,26.18495
train_00119.jpg,26.18771
train_00120.jpg,26.16366
train_00121.jpg,26.11508
train_00122.jpg,26.11579
train_00123.jpg,26.10692
train_00124.jpg,26.09371
train_00125.jpg,26.02672
train_00126.jpg,26.05968
train_00127.jpg,26.04351
train_00128.jpg,26.02698
train_00129.jpg,26.03641
train_00130.jpg,25.98597
train_00131.jpg,25.88275
train_00132.jpg,25.84853
train_00133.jpg,25.92309
train_00134.jpg,25.89822
train_00135.jpg,25.93666
train_00136.jpg,25.88945
