image_path_1,speed_1,image_path_2,speed_2
/floyd/input/train_data_images_final/train_04352.jpg,21.92048,/floyd/input/train_data_images_final/train_04353.jpg,21.89909
/floyd/input/train_data_images_final/train_06442.jpg,14.21504,/floyd/input/train_data_images_final/train_06443.jpg,14.22231
/floyd/input/train_data_images_final/train_10918.jpg,4.946546,/floyd/input/train_data_images_final/train_10919.jpg,4.976045
/floyd/input/train_data_images_final/train_08775.jpg,11.98168,/floyd/input/train_data_images_final/train_08776.jpg,11.90902
/floyd/input/train_data_images_final/train_09851.jpg,7.165285,/floyd/input/train_data_images_final/train_09852.jpg,7.200015
/floyd/input/train_data_images_final/train_00807.jpg,22.02464,/floyd/input/train_data_images_final/train_00808.jpg,22.00464
/floyd/input/train_data_images_final/train_17367.jpg,14.27264,/floyd/input/train_data_images_final/train_17368.jpg,14.35056
/floyd/input/train_data_images_final/train_04287.jpg,22.11363,/floyd/input/train_data_images_final/train_04288.jpg,22.11258
/floyd/input/train_data_images_final/train_14956.jpg,14.30849,/floyd/input/train_data_images_final/train_14957.jpg,14.29708
/floyd/input/train_data_images_final/train_07854.jpg,24.1985,/floyd/input/train_data_images_final/train_07855.jpg,24.21534
/floyd/input/train_data_images_final/train_20327.jpg,4.588427,/floyd/input/train_data_images_final/train_20328.jpg,4.531299
/floyd/input/train_data_images_final/train_18629.jpg,0,/floyd/input/train_data_images_final/train_18630.jpg,0
/floyd/input/train_data_images_final/train_19220.jpg,8.633775,/floyd/input/train_data_images_final/train_19221.jpg,8.539343
/floyd/input/train_data_images_final/train_09510.jpg,7.97473,/floyd/input/train_data_images_final/train_09511.jpg,7.955944
/floyd/input/train_data_images_final/train_20006.jpg,10.50682,/floyd/input/train_data_images_final/train_20007.jpg,10.50762
/floyd/input/train_data_images_final/train_01365.jpg,13.81279,/floyd/input/train_data_images_final/train_01366.jpg,13.86141
/floyd/input/train_data_images_final/train_02767.jpg,25.80906,/floyd/input/train_data_images_final/train_02768.jpg,25.80603
/floyd/input/train_data_images_final/train_02686.jpg,25.33778,/floyd/input/train_data_images_final/train_02687.jpg,25.35462
/floyd/input/train_data_images_final/train_04916.jpg,22.3468,/floyd/input/train_data_images_final/train_04917.jpg,22.33762
